drift_share,number_of_columns,number_of_drifted_columns,share_of_drifted_columns,dataset_drift,column_drift_threshold,Ambient,Coolantwall,Dia Disp,Ref Temp on Bed,Spindle Front,Spindle Rear,Time,Transfomerbed
0.5,8,0,0.0,False,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,8,2,0.25,False,0.05,0.017888891046805022,0.13124127383732748,0.39862416199179523,0.02874637288765061,0.03221735705282162,0.042856365286770025,0.001692983029308875,0.024267521634172295
0.5,8,7,0.875,True,0.05,0.990187417719783,0.9099777286345748,0.5910714715598235,1.37447172329086,0.4327575743490261,0.4023398937313461,0.0004760016016529707,1.6245538977799183
0.5,8,6,0.75,True,0.05,0.8386327288160649,4.069110948310852,3.6240867614255663,0.04811553464412746,0.3241520734980223,0.12398798383232103,0.016467436145316816,0.22669183332968612
0.5,8,2,0.25,False,0.05,0.015028871404907693,0.10589315278438108,0.21511560016717762,0.00484961924867526,0.0207744906999755,0.007795301308094901,0.011433158548588757,0.009781240167107942
0.5,8,7,0.875,True,0.05,4.366914358548009,1.4245813774287752,2.1944446862005345,1.278091736571373,0.25316903040793176,0.2864558725537418,0.003656342417017844,0.5196498599672815
0.5,8,7,0.875,True,0.05,8.08726016785527,1.4369503349448705,7.406676476406597,2.5932286231698636,0.7417752075359076,0.8207819646540606,0.0303962448740143,1.1388720350423234
0.5,8,7,0.875,True,0.05,5.223035930174369,1.7506885831365433,0.48795100537906355,2.5647065249109797,0.41619329778944475,0.30103866898551856,0.02817830976228216,0.1704528224167532
0.5,8,5,0.625,True,0.05,0.5529674147138451,1.9564257228282096,3.203943744212899,0.09056548533996274,0.12324239179947948,0.020299794939304984,0.006543162732610314,0.017031545054552615
0.5,8,8,1.0,True,0.05,0.43160638115433203,0.47772579494475326,0.8224328858359558,0.1468920270355851,0.25351186468310216,0.0921021616739737,0.12959373640270785,0.207352441850793
0.5,8,8,1.0,True,0.05,0.13782661627045162,0.2769995936228233,0.5463853019751697,2.7545804304523553,0.17228648896643173,0.11118470070198772,0.6340516288957234,0.2156196426060118
0.5,8,7,0.875,True,0.05,0.8485812446146427,0.6551176540380874,2.7365791422505352,0.32786195829198683,0.42162966246441164,0.4162118998201102,0.001261821364247559,0.25565544071886376
0.5,8,7,0.875,True,0.05,0.37900410989421807,0.7988709191250798,4.433783072755518,1.1360643300335256,0.2587972512408192,0.13849628718781176,0.0021111867470070215,0.6336352647012484
0.5,8,7,0.875,True,0.05,0.7839734809311143,0.8559061055959417,1.1295761247280465,1.0904398533773956,0.18624309742652917,0.116684431456954,0.01133568432853816,0.5986407148818821
0.5,8,7,0.875,True,0.05,4.851383906505048,5.587644936630935,0.23824719707057065,4.718777615379624,5.933350355460288,5.224260112720318,0.03734176558807283,4.36544441035676
0.5,8,8,1.0,True,0.05,1.915843523214285,0.8790085134965122,0.27486192120524605,0.5526613426843875,3.67572958744307,0.19409724261841496,1.002967858474173,0.8414226490728391
0.5,8,8,1.0,True,0.05,2.7389538617992675,0.4648961923078814,0.7874964626989871,3.6953098960755297,2.183257477284429,0.8363836200705745,3.9625341597826123,0.39168255411560426
0.5,8,7,0.875,True,0.05,2.658223403800496,0.10210349727488038,1.4984810615933348,2.573089598620629,2.339667881583043,2.1028332740234745,0.008449796242157602,0.0517201847551223
